date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:50:39	21806/21806	---M-Z	200	added ('OK')	text/css	etag:%22552e-57fbbf71d02cb-gzip%22	https://dreamguys.co.in/smarthr/assets/css/style.css	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/css/style.css	(from https://dreamguys.co.in/smarthr/)
03:50:40	142333/142333	---M--	200	added ('OK')	image/jpeg	etag:%2222bfd-57fbbfc63d830%22	http://dreamguys.co.in/smarthr/assets/img/smarthr.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/smarthr.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:40	2649/2649	---M--	200	added ('OK')	image/png	etag:%22a59-57fbbfa77213b%22	https://dreamguys.co.in/smarthr/assets/img/logo-light.png	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/logo-light.png	(from https://dreamguys.co.in/smarthr/)
03:50:40	3253/3253	---M--	200	added ('OK')	image/png	etag:%22cb5-57fbbfa85d690%22	https://dreamguys.co.in/smarthr/assets/img/logo.png	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/logo.png	(from https://dreamguys.co.in/smarthr/)
03:50:41	235249/235249	---M--	200	added ('OK')	image/jpeg	etag:%22396f1-57fbbfabf11b0%22	https://dreamguys.co.in/smarthr/assets/img/screen1.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/screen1.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:42	247636/247636	---M--	200	added ('OK')	image/jpeg	etag:%223c754-57fbbfbc19c00%22	https://dreamguys.co.in/smarthr/assets/img/screen4.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/screen4.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:42	237826/237826	---M--	200	added ('OK')	image/jpeg	etag:%223a102-57fbbfba2c61a%22	https://dreamguys.co.in/smarthr/assets/img/screen3.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/screen3.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:43	243375/243375	---M--	200	added ('OK')	image/jpeg	etag:%223b6af-57fbbfc159a71%22	https://dreamguys.co.in/smarthr/assets/img/screen7.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/screen7.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:43	241814/241814	---M--	200	added ('OK')	image/jpeg	etag:%223b096-57fbbfbf879f5%22	https://dreamguys.co.in/smarthr/assets/img/screen6.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/screen6.jpg	(from https://dreamguys.co.in/smarthr/)
03:50:43	24256/24256	---M--	200	added ('OK')	image/jpeg	etag:%225ec0-57fbbfc76fde7%22	https://dreamguys.co.in/smarthr/assets/img/soon.jpg	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/soon.jpg	(from https://dreamguys.co.in/smarthr/)
